40120000
 c74 1aa5 1bfc 1b3f 1a2f 1b90 19e6 19ce 19e2 1a4d 1a00 1916 1a26 1a37 1b00 1944 
 e7f  df3  d1b  d94  e0e  dda  dd1  e4c  e0b  dd0  d52  e4f  e28  d8e  c59  d81 
 ef1  df2  da2  d2c  ce6  ca5  d9c  dec  d8f  d91  d1f  d16  c7f  d3f  ebc  cf0 
 e1e  bc7  bc3  b50  b98  c39  b3e  bf1  c72  be7  a8a  b8a  a8a  ae1  98e  bd1 
 b9a  bd0  a62  a70  b4d  ba8  b3e  d04  aaa  c6a  aee  a1a  bb4  af6  b19  ab5 
 bb9  aea  acc  b3e  a28  a5d  b2e  b28  ba2  b64  ba9  bc8  b81  c01  be9  c87 
 c1a  b7c  d1f  c7c  c20  c73  bd5  d6b  c4e  cd5  bc8  c0b  c46  de4  ca0  de3 
 e24  c5d  c2a  b1f  ab0  a06  b83  c1d  bcd  b5e  b50  a91  a6e  b47  af5  b69 
 b5b  b51  af1  9bc  b01  b26  abd  a95  a97  a58  a6d  b62  a4a  b1e  a9e  bd9 
 add  b2a  a4e  ae8  b22  af0  ba9  a4d  b70  a8a  ab4  af2  c21  b23  b23  ba8 
 bb6  b1d  b36  bcf  c45  bc0  b3d  bec  c1d  c56  ba0  cba  c55  c2b  ca1  ba4 
